Designator,Mid X,Mid Y,Rotation,Layer
C13,157.225,-91.7,180.0,bottom
C14,159.562277,-77.88185,0.0,bottom
C15,159.55116,-79.469288,0.0,bottom
C16,159.546013,-81.036146,0.0,bottom
C17,173.53,-73.33,270.0,bottom
C18,177.0,-78.375,270.0,bottom
C19,178.6,-78.4,270.0,bottom
C2,174.535809,-82.622173,270.0,top
C20,180.2,-78.4,270.0,bottom
C21,171.025,-87.025,0.0,bottom
C22,171.32,-88.425,0.0,bottom
C23,166.1,-76.2,0.0,bottom
C24,171.3,-89.625,0.0,bottom
C25,170.8,-90.925,0.0,bottom
C26,164.82,-88.025,0.0,bottom
C27,164.9,-89.625,0.0,bottom
C28,164.325,-86.425,0.0,bottom
C29,164.525,-91.125,0.0,bottom
C3,166.5,-77.5,180.0,top
C30,158.92,-83.1,0.0,top
C31,158.9,-90.5,0.0,top
C37,159.88,-95.35,0.0,top
C4,166.6,-75.5,90.0,top
C40,171.82,-95.259965,0.0,top
C41,175.87601,-84.052863,90.0,top
C5,173.4,-94.3,90.0,top
C6,168.2,-101.3,270.0,top
C7,169.8,-100.1,0.0,top
C8,166.5,-101.38,90.0,top
C9,163.435276,-82.066521,0.0,top
D2,160.8,-75.2,180.0,bottom
D3,172.6,-80.5,270.0,bottom
D4,152.1125,-88.3,0.0,top
D5,152.1125,-86.4,0.0,top
D6,176.2125,-77.6,0.0,top
J1,164.4,-106.8,0.0,top
J2,171.133542,-73.117813,180.0,top
J4,179.083365,-73.109396,180.0,top
J5,153.1,-81.3,270.0,top
J7,186.29,-85.9,90.0,top
J8,176.910597,-106.82975,0.0,top
J9,186.871044,-96.683554,90.0,top
L1,168.5,-72.9,180.0,bottom
R1,180.49,-88.3,0.0,top
R10,167.198538,-83.725716,0.0,bottom
R11,155.29,-86.4,180.0,top
R12,162.1,-83.7,0.0,bottom
R13,175.99,-79.2,180.0,top
R14,157.2,-81.41,90.0,top
R15,165.85246,-80.569995,0.0,top
R16,155.6875,-79.6,90.0,bottom
R17,156.8875,-86.2,180.0,bottom
R18,163.79,-80.6,0.0,top
R19,157.7,-89.0875,90.0,bottom
R2,179.5,-83.6,0.0,top
R3,157.69,-95.35,0.0,top
R4,155.3,-88.3,180.0,top
R5,169.8,-99.0,180.0,top
R6,164.5,-99.01,90.0,top
R7,169.8,-97.2,180.0,top
R8,157.2,-79.19,270.0,top
R9,171.948262,-73.298409,270.0,bottom
SW1,158.9,-99.0,270.0,top
U1,168.6,-87.9,270.0,top
U2,179.0625,-85.95,0.0,top
U3,174.45,-88.0625,90.0,bottom
U5,167.0,-98.715,0.0,top
U6,169.7,-78.435,0.0,top
U7,165.3,-80.0,0.0,bottom
U9,167.65,-88.1625,90.0,bottom
Y1,159.529136,-86.821537,270.0,top
